url,address,neighborhood,rent,beds,baths,flexible_rooms,zip
https://www.renthop.com/listings/410-east-89th-street/1c/59464073,"410 East 89th Street, Apt 1C","Yorkville, Upper East Side, Upper Manhattan, Manhattan",2012,1,1.0,0,10128
https://www.renthop.com/listings/175-west-60th-street/15/58348550,"175 West 60th Street, Apt 15С...","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",6244,2,2.0,0,10023
https://www.renthop.com/listings/185-claremont-avenue/5a/59618073,"185 Claremont Avenue, Apt 5A","Morningside Heights, West Harlem, Upper Manhattan, Manhattan",2260,1,1.0,0,10027
https://www.renthop.com/listings/10-hanover-square/2a/59470455,10 Hanover Square,"Financial District, Downtown Manhattan, Manhattan",4274,2,2.0,0,10005
https://www.renthop.com/listings/507-west-171st-street/d/59279326,"507 West 171st Street, Apt D","Washington Heights, Upper Manhattan, Manhattan",1650,1,1.0,0,10032
https://www.renthop.com/listings/pearl-st/5h/15863325,Pearl st ,"Financial District, Downtown Manhattan, Manhattan",2250,1,1.0,1,
https://www.renthop.com/listings/east-92nd-street/7a/58848813, East 92nd Street,"Carnegie Hill, Upper East Side, Upper Manhattan, Manhattan",5729,2,2.0,1,
https://www.renthop.com/listings/10-waterside-plaza-new-york-ny-10010/apt-33d/59606406,"10 Waterside Plaza, Apt APT 33...","Kips Bay, Midtown Manhattan, Manhattan",6225,3,2.0,0,10010
https://www.renthop.com/listings/837-jersey-avenue-jersey-city-nj-07310/6j/59154999,"837 Jersey Avenue, Apt 6J","Historic Downtown, Hudson",2600,1,1.0,0,07310
https://www.renthop.com/listings/suydam-street/3/59618080,Suydam Street,"Bushwick, Northern Brooklyn, Brooklyn",2750,3,1.0,0,
